player_id,player_name,team_abbreviation,primary_archetype,secondary_archetype,archetype_confidence,archetype_reasons,shooting_efficiency_category,shotquality_pbp_profile_label,shot_diet_profile_label,specialized_shooter_label,shot_diet_risk_label
1629491,Jessica Shepard,DAL,Efficient Interior Anchor,Rim Pressure Finisher,0.76,paint-heavy shot diet with strong rebounding volume,Strong Efficiency,Average Shot Quality Profile,Paint-Oriented,Rim Pressure Finisher,Spacing-Limited Profile
1642289,Kamilla Cardoso,CHI,Efficient Interior Anchor,No Clear Shooting Specialty,0.76,paint-heavy shot diet with strong rebounding volume,Strong Efficiency,High-Quality Shot Profile,Unavailable Shot Diet,No Clear Shooting Specialty,Specialist-Dependent
1631019,NaLyssa Smith,LVA,Rim-Pressure Finisher,Rim Pressure Finisher,0.7,rim-heavy profile creates paint pressure,Elite Efficiency,Average Shot Quality Profile,Unavailable Shot Diet,Rim Pressure Finisher,Balanced / Low Risk
203400,Skylar Diggins,CHI,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Low Efficiency,Average Shot Quality Profile,Diversified Shot Profile,No Clear Shooting Specialty,Midrange-Heavy Risk
203826,Alyssa Thomas,PHX,High-Leverage Connector,Midrange Specialist,0.62,balanced profile without a single dominant value signal,Average Efficiency,Tough Shot Profile,Unavailable Shot Diet,Midrange Specialist,Midrange-Heavy Risk
1628932,A'ja Wilson,LVA,Defense/Glass Value,Midrange Specialist,0.68,defensive event or rebounding value leads the profile,Average Efficiency,Tough-Shot Maker,Midrange-Heavy,Midrange Specialist,Midrange-Heavy Risk
1643428,Flau'jae Johnson,SEA,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Low Efficiency,Average Shot Quality Profile,Diversified Shot Profile,No Clear Shooting Specialty,Clean Shot Profile
1627668,Breanna Stewart,NYL,Defense/Glass Value,No Clear Shooting Specialty,0.68,defensive event or rebounding value leads the profile,Average Efficiency,Tough Shot Profile,Midrange-Heavy,No Clear Shooting Specialty,Midrange-Heavy Risk
203827,Natasha Howard,MIN,Efficient Interior Anchor,Rim Pressure Finisher,0.76,paint-heavy shot diet with strong rebounding volume,Strong Efficiency,High-Quality Shots + Strong Making,Unavailable Shot Diet,Rim Pressure Finisher,Specialist-Dependent
1629481,Arike Ogunbowale,DAL,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,three-point volume is the clearest offensive value signal,Low Efficiency,Tough Shot Profile,Perimeter-Leaning,No Clear Shooting Specialty,High Variance Profile
1629567,Natisha Hiedeman,SEA,Shot-Making Wing,Above-Break Spacer,0.74,positive shot-making delta with real perimeter volume,Average Efficiency,Tough-Shot Maker,Perimeter-Leaning,Above-Break Spacer,High Variance Profile
1628931,Gabby Williams,GSV,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,three-point volume is the clearest offensive value signal,Average Efficiency,Tough Shot Profile,Diversified Shot Profile,No Clear Shooting Specialty,Balanced / Low Risk
1629498,Jackie Young,LVA,Shot-Making Wing,Midrange Specialist,0.74,positive shot-making delta with real perimeter volume,Average Efficiency,Tough-Shot Maker,Balanced Shot Diet,Midrange Specialist,Midrange-Heavy Risk
1642784,Paige Bueckers,DAL,Primary Engine,Midrange Specialist,0.82,high usage paired with strong playmaking volume,Strong Efficiency,Tough-Shot Maker,Midrange-Heavy,Midrange Specialist,Balanced / Low Risk
203833,Chelsea Gray,LVA,Shot-Making Wing,Above-Break Spacer,0.74,positive shot-making delta with real perimeter volume,Average Efficiency,Tough-Shot Maker,Perimeter-Leaning,Above-Break Spacer,Midrange-Heavy Risk
1628269,Nia Coffey,MIN,Shot-Making Wing,Corner Spacer,0.74,positive shot-making delta with real perimeter volume,Strong Efficiency,High-Quality Shots + Strong Making,Modern Shot Diet,Corner Spacer,Clean Shot Profile
203014,Nneka Ogwumike,LAS,Shot-Making Wing,No Clear Shooting Specialty,0.74,positive shot-making delta with real perimeter volume,Strong Efficiency,Average Shot Quality Profile,Paint-Oriented,No Clear Shooting Specialty,Balanced / Low Risk
1642286,Caitlin Clark,IND,Primary Engine,No Clear Shooting Specialty,0.82,high usage paired with strong playmaking volume,Average Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
203866,Kayla Thornton,GSV,Spacing Guard/Wing,High-Volume Low-Efficiency Shooter,0.7,three-point volume is the clearest offensive value signal,Low Efficiency,Average Shot Quality Profile,Modern Shot Diet,High-Volume Low-Efficiency Shooter,Clean Shot Profile
1643426,Olivia Miles,MIN,Primary Engine,No Clear Shooting Specialty,0.82,high usage paired with strong playmaking volume,Average Efficiency,Average Shot Quality Profile,Paint-Oriented,No Clear Shooting Specialty,Clean Shot Profile
1629497,Marina Mabrey,TOR,Shot-Making Wing,Above-Break Spacer,0.74,positive shot-making delta with real perimeter volume,Strong Efficiency,Average Shot Quality Profile,Modern Shot Diet,Above-Break Spacer,Clean Shot Profile
1628277,Allisha Gray,ATL,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Average Efficiency,High-Quality Shot Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
203825,Kayla McBride,MIN,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,three-point volume is the clearest offensive value signal,Average Efficiency,Average Shot Quality Profile,Perimeter-Leaning,No Clear Shooting Specialty,Clean Shot Profile
1629546,Marine Johannes,NYL,Shot-Making Wing,Above-Break Spacer,0.74,positive shot-making delta with real perimeter volume,Strong Efficiency,Average Shot Quality Profile,Modern Shot Diet,Above-Break Spacer,Clean Shot Profile
1628878,Ariel Atkins,LAS,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,three-point volume is the clearest offensive value signal,Low Efficiency,Tough Shot Profile,Perimeter-Leaning,No Clear Shooting Specialty,Midrange-Heavy Risk
1641649,Diamond Miller,CON,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Efficiency Concern,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1631009,Rhyne Howard,ATL,Spacing Guard/Wing,Perimeter Volume Threat,0.7,three-point volume is the clearest offensive value signal,Average Efficiency,Average Shot Quality Profile,Modern Shot Diet,Perimeter Volume Threat,Clean Shot Profile
1628881,Monique Billings,IND,Rim-Pressure Finisher,No Clear Shooting Specialty,0.7,rim-heavy profile creates paint pressure,Average Efficiency,High-Quality Shot Profile,Paint-Oriented,No Clear Shooting Specialty,Clean Shot Profile
1627675,Courtney Williams,MIN,High-Leverage Connector,Midrange Specialist,0.62,balanced profile without a single dominant value signal,Average Efficiency,Tough-Shot Maker,Midrange-Heavy,Midrange Specialist,Midrange-Heavy Risk
1643425,Azzi Fudd,DAL,Shot-Making Wing,Midrange Specialist,0.74,positive shot-making delta with real perimeter volume,Average Efficiency,Tough-Shot Maker,Diversified Shot Profile,Midrange Specialist,Midrange-Heavy Risk
1631007,Veronica Burton,GSV,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Low Efficiency,Tough Shot Profile,Balanced Shot Diet,No Clear Shooting Specialty,Midrange-Heavy Risk
1643493,Noemie Brochant,PHX,Shot-Making Wing,Balanced Three-Level Scorer,0.74,positive shot-making delta with real perimeter volume,Average Efficiency,Average Shot Quality Profile,Perimeter-Leaning,Balanced Three-Level Scorer,Clean Shot Profile
1627673,Jonquel Jones,NYL,Shot-Making Wing,No Clear Shooting Specialty,0.74,positive shot-making delta with real perimeter volume,Strong Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1628279,Brittney Sykes,TOR,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Low Efficiency,Average Shot Quality Profile,Diversified Shot Profile,No Clear Shooting Specialty,Balanced / Low Risk
1631044,Naz Hillmon,ATL,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,three-point volume is the clearest offensive value signal,Average Efficiency,High-Quality Shot Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1643443,Awa Fam,SEA,Shot-Making Wing,Balanced Three-Level Scorer,0.74,positive shot-making delta with real perimeter volume,Strong Efficiency,Average Shot Quality Profile,Diversified Shot Profile,Balanced Three-Level Scorer,Balanced / Low Risk
1627674,Kahleah Copper,PHX,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Low Efficiency,Average Shot Quality Profile,Diversified Shot Profile,No Clear Shooting Specialty,Balanced / Low Risk
1642785,Sonia Citron,WAS,Shot-Making Wing,Balanced Three-Level Scorer,0.74,positive shot-making delta with real perimeter volume,Average Efficiency,Average Shot Quality Profile,Diversified Shot Profile,Balanced Three-Level Scorer,Clean Shot Profile
1629484,Megan Gustafson,PDX,Shot-Making Wing,No Clear Shooting Specialty,0.74,positive shot-making delta with real perimeter volume,Strong Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1628508,Cecilia Zandalasini,GSV,Shot-Making Wing,No Clear Shooting Specialty,0.74,positive shot-making delta with real perimeter volume,Average Efficiency,Tough-Shot Maker,Perimeter-Leaning,No Clear Shooting Specialty,High Variance Profile
1642782,Sarah Ashlee Barker,PDX,Shot-Making Wing,Corner Spacer,0.74,positive shot-making delta with real perimeter volume,Strong Efficiency,Average Shot Quality Profile,Modern Shot Diet,Corner Spacer,Clean Shot Profile
203855,Stephanie Talbot,LVA,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,three-point volume is the clearest offensive value signal,Average Efficiency,High-Quality Shot Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1643494,Frieda Buhner,PDX,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,watchlist workload keeps the signal promising but not fully eligible; three-point volume is the clearest offensive value signal,Low Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1642303,Leila Lacan,CON,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Low Efficiency,Tough Shot Profile,Diversified Shot Profile,No Clear Shooting Specialty,Balanced / Low Risk
1630996,Rae Burrell,LAS,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Average Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1628909,Kelsey Mitchell,IND,Shot-Making Wing,Balanced Three-Level Scorer,0.74,positive shot-making delta with real perimeter volume,Strong Efficiency,Average Shot Quality Profile,Modern Shot Diet,Balanced Three-Level Scorer,Clean Shot Profile
1628922,Azura Stevens,CHI,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Low Efficiency,High-Quality Shot Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1641648,Aliyah Boston,IND,Defense/Glass Value,No Clear Shooting Specialty,0.68,defensive event or rebounding value leads the profile,Average Efficiency,Average Shot Quality Profile,Paint-Oriented,No Clear Shooting Specialty,Balanced / Low Risk
1628276,Kelsey Plum,LAS,Primary Engine,No Clear Shooting Specialty,0.82,high usage paired with strong playmaking volume,Strong Efficiency,Average Shot Quality Profile,Balanced Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
203398,Brittney Griner,CON,Defense/Glass Value,Midrange Specialist,0.68,watchlist workload keeps the signal promising but not fully eligible; defensive event or rebounding value leads the profile,Average Efficiency,Tough Shot Profile,Unavailable Shot Diet,Midrange Specialist,Midrange-Heavy Risk
1631022,Shakira Austin,WAS,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Low Efficiency,Average Shot Quality Profile,Unavailable Shot Diet,No Clear Shooting Specialty,Midrange-Heavy Risk
